id,nome,link,ativo,Atualizar,Motivo,Novo Link,Comentário Outros
232,MEDINDO ÂNGULOS,http://www.noas.com.br/ensino-medio/matematica/aritmetica/mico-matematico/,TRUE,Sim,Link trocado,Procurar novo link,
233,MOVIMENTOS COMPLEXOS,http://www.projetos.unijui.edu.br/matematica/fabrica_virtual/matematica_com_sorvete/matematica_com_sorvete/OBJETO/index.html,TRUE,Sim,Novo Link,https://m3.ime.unicamp.br/arquivos/software/1239/,
234,NAVEGANDO EM ALTO MAR,http://www.rived.ufu.br/objetos/matematica/nocoes%20trigonometricas/mat1_ativs1.html,TRUE,Sim,Link quebrado,,
235,NOÇÕES TRIGONOMÉTRICAS,http://www.projetos.unijui.edu.br/matematica/fabrica_virtual/navegando_em_alto_mar/index.html,TRUE,Sim,Flash,,
236,O BANHO,http://www.projetos.unijui.edu.br/matematica/2009/pontosxyz/,TRUE,Sim,Flash,,
237,O FUGITIVO,http://www2.fe.usp.br/~mef-pietro/rived/sim_energia_banho.html,TRUE,Sim,Flash,,
238,OBJETOS PARA LOCALIZAÇÃO DE PONTOS NO ESPAÇO,http://www2.fe.usp.br/~mef-pietro/rived/sim_fis_fugitivo.html,TRUE,Sim,Flash,,
239,ONDAS TRIGONOMÉTRICAS,http://m3.ime.unicamp.br/media/software/1240/,TRUE,Sim,M3 Unicamp,https://m3.ime.unicamp.br/arquivos/software/1240/,
240,OTIMIZAÇÃO DE JANELAS,http://m3.ime.unicamp.br/media/software/1241/,TRUE,Sim,M3 Unicamp,https://m3.ime.unicamp.br/arquivos/software/1243/,
241,OTIMIZAÇÃO DE JANELAS COM TOPO TRIANGULAR,http://m3.ime.unicamp.br/media/software/1242/,TRUE,Sim,M3 Unicamp,,
242,OTIMIZAÇÃO DO CONE,http://m3.ime.unicamp.br/media/software/1243/,TRUE,Sim,M3 Unicamp,,
243,PERMUTAÇÃO,http://m3.ime.unicamp.br/media/software/1245/,TRUE,Sim,M3 Unicamp,http://sites.unifra.br/Portals/17/Matematica/Permutacao/Permutacao.swf,
244,PONTOS EM BATALHA,http://sites.unifra.br/Portals/17/Matematica/Permutacao/Permutacao.swf,TRUE,Sim,Link quebrado,,
245,PORCENTAGEM (GRÁFICO DE BARRAS),http://objetoseducacionais2.mec.gov.br/bitstream/handle/mec/1643/open/file/index.htm?sequence=41,TRUE,Sim,Flash,,
246,PRISMA,http://www.projetos.unijui.edu.br/matematica/fabrica_virtual/exponencial/index.html,TRUE,Sim,Flash,http://www.noas.com.br/ensino-medio/matematica/geometria/geometria-espacial/prisma/,
247,PROBABILIDADE COM URNAS,http://www.noas.com.br/ensino-medio/matematica/geometria/geometria-espacial/prisma/,TRUE,Sim,Link trocado,Procurar novo link,
248,PROBABILIDADE DE PLINKO,http://www.projetos.unijui.edu.br/matematica/2011/pitagoras/index.html,FALSE,Sim,Novo Link,http://www.noas.com.br/ensino-medio/matematica/estatistica/probabilidade-plinko/,
249,PROBABILIDADE: A MATEMÁTICA AO ACASO,http://www.projetos.unijui.edu.br/matematica/2010/porcentagem_barras/,TRUE,Sim,Flash,,
250,PROBABILIDADES,http://www.noas.com.br/ensino-medio/matematica/estatistica/probabilidade-plinko/,TRUE,Sim,Link trocado,Procurar novo link,Confirmar se realmente está trocado o link
251,RAZÕES TRIGONOMÉTRICAS,http://www.noas.com.br/ensino-fundamental-2/matematica/razoes-trigonometricas-dos-angulos/,TRUE,Sim,Flash,,Link igual ao do id=165
252,SALTO DOS RECORDES,http://www.projetos.unijui.edu.br/matematica/2011/sinuca/sinuca.swf,TRUE,Sim,Flash,,
253,SINUCA,http://www2.fe.usp.br/~mef-pietro/rived/sim_fis_saltorecorde.html,TRUE,Sim,Flash,,
254,TRIGONOMETRIA DE HALOS,http://www.projetos.unijui.edu.br/matematica/fabrica_virtual/Jogo_matematica_financeira/objeto/index.html,TRUE,Sim,Novo Link,https://m3.ime.unicamp.br/arquivos/software/1249/,"O link original era Unijui, mas comparando com a imagem presente no OBAMA o OA hospedado no IME Unicamp é o mesmo"
255,TRIGONOMETRIA E RAIOS LUMINOSOS,http://m3.ime.unicamp.br/media/software/1249/,TRUE,Sim,M3 Unicamp,https://m3.ime.unicamp.br/arquivos/software/1250/,
256,TRIGONOMETRIA PLANA 1,http://www.noas.com.br/ensino-medio/matematica/trigonometria/trigonometria-plana-dilatacao/,TRUE,Sim,Flash,http://www.noas.com.br/ensino-fundamental-2/matematica/trigonometria-plana-1/,trocar link pelo link do id=259
257,TRIGONOMETRIA PLANA EQUAÇÃO TRIGONOMÉTRICA,http://www.noas.com.br/ensino-medio/matematica/trigonometria/trigonometria-plana-equacao-trigonometrica/,TRUE,Sim,Flash,,
258,TRIGONOMETRIA PLANA FUNÇÃO CONTANGENTE,http://www.noas.com.br/ensino-medio/matematica/trigonometria/trigonometria-plana-funcao-contangente/,TRUE,Sim,Flash,,
259,"TRIGONOMETRIA PLANA, DILATAÇÃO",http://www.noas.com.br/ensino-fundamental-2/matematica/trigonometria-plana-1/,TRUE,Sim,Flash,http://www.noas.com.br/ensino-medio/matematica/trigonometria/trigonometria-plana-dilatacao/,trocar link pelo link do id=556
260,TRILHA DA ECONOMIA,http://m3.ime.unicamp.br/media/software/1250/,TRUE,Sim,M3 Unicamp,,
261,2048,https://gabrielecirulli.github.io/2048/,TRUE,Não,,,
262,A ÁLGEBRA DOS VITRÔS,http://www.projetos.unijui.edu.br/matematica/principal/fundamental/raquel_leonogildo_gustavo_tania/projeto2MX.html,TRUE,Sim,Flash,,
263,A EXPANSÃO DECIMAL DE UM NÚMERO (PARTE 3),http://www.uff.br/cdme/edn/edn-html/edn-mba-br.html,FALSE,Sim,Novo Link,http://www.cdme.im-uff.mat.br/edn/edn-html/edn-mba-br.html,
264,ACERTE NA MEDIDA,http://www.hypatiamat.com/comp_perimetros_web.php,TRUE,Sim,Link quebrado,,
265,ÁGUA EM JOGO,https://www.aguaegestao.com.br/aguaemjogo/,TRUE,Sim,Link quebrado,,
266,ALGUMAS PROPRIEDADES MATEMÁTICAS DO NÚMERO DE OURO,http://www.uff.br/cdme/rza/rza-html/rza-math-br.html,FALSE,Sim,Novo Link,http://www.cdme.im-uff.mat.br/rza/rza-html/rza-math-br.html,
267,ANALISANDO AS ÁREAS,http://mdmat.mat.ufrgs.br/repositorio/areas/objeto.htm,TRUE,Sim,Flash,,
268,ANATOMIA DE UMA FUNÇÃO QUADRÁTICA,http://www.uff.br/cdme/fqa/fqa-html/fqa-gs-mathml-br.html,FALSE,Sim,Novo Link,http://www.cdme.im-uff.mat.br/fqa/fqa-html/fqa-gs-mathml-br.html,
269,ARREDONDANDO DECIMAIS,http://escola.britannica.com.br/resources/lm/GM_6_21/GM_6_21.htm,FALSE,Não,,,
270,AS VERDADEIRAS PROPORÇÕES DO “HOMEM VITRUVIANO”,http://www.uff.br/cdme/rza/rza-html/rza-vitruvian-br.html,FALSE,Sim,Novo Link,http://www.cdme.im-uff.mat.br/rza/rza-html/rza-vitruvian-br.html,
271,BRINCANDO COM O TEODOLITO – ÂNGULO CONGRUENTE,http://www.uff.br/cdme/trigonometria/jogo05/jogo05.html,FALSE,Sim,Novo Link,http://www.cdme.im-uff.mat.br/trigonometria/jogo05/jogo05.html,
272,CAÇANDO RAÍZES MATEMÁTICAS,http://www.educopedia.com.br/EducoFiles/f611d000-e29d-4e41-88a0-f3ec9db24502.exe,TRUE,Sim,Flash,,
273,CAFETERIA AUTOMÁTICA,http://mdmat.mat.ufrgs.br/anos_iniciais/objetos/maquina.htm,TRUE,Sim,Link trocado,Procurar novo link,OA repetido.
274,COMO B DEPENDE DE A?,http://www.uff.br/cdme/c1d/c1d-html/c1d-br.html,FALSE,Sim,Novo Link,http://www.cdme.im-uff.mat.br/c1d/c1d-html/c1d-br.html,
275,COMPLETANDO OS NÚMEROS,http://www.escolagames.com.br/jogos/completandoNumeros/,TRUE,Não,,,
276,"COMPRIMENTOS, PERÍMETROS E ÁREAS DE FIGURAS",http://www.mangahigh.com/pt-br/games/pyramidpaniclite,TRUE,Sim,Novo Link,https://www.mangahigh.com/pt-br/games/pyramidpanic,
277,CONJUNTOS NUMÉRICOS,http://sites.aticascipione.com.br/ser/jogosSer/matematica/conjuntos_numericos/conjunto-numeros.swf,TRUE,Sim,Link quebrado,,
278,CONVERTER DECIMAIS EM PORCENTAGENS E FRAÇÕES,http://www.mangahigh.com/pt-br/jogos_matematicos/numerais/decimais/converter_decimais_em_porcentagens_e_fracoes,TRUE,Sim,Link quebrado,,
279,DEMONSTRAÇÃO DO TEOREMA DE PITÁGORAS,http://www.uff.br/cdme/dsp/dsp-html/dsp-tp-br.html,FALSE,Sim,Novo Link,http://www.cdme.im-uff.mat.br/dsp/dsp-html/dsp-tp-br.html,
280,DESVENDANDO A SENHA,http://www.educopedia.com.br/EducoFiles/01886ee6-ac7e-4933-bc4a-9c327f48ddbe.exe,TRUE,Sim,Flash,,
281,DIVIDINDO A PIZZA,http://www.escolagames.com.br/jogos/dividindoPizza/,TRUE,Sim,Flash,,
282,ENIGMA DAS FRAÇÕES,http://acervo.novaescola.org.br/swf/jogos/exibi-jogo.shtml?211_enigma_fracoes.swf,TRUE,Sim,Link quebrado,,
283,ESCALA DE PROBABILIDADE,http://campus.mangahigh.com/pt-br/px/490/0/0,TRUE,Sim,Outros,,OA não carrega por erro de CORS
284,"FATORE QUADRÁTICAS SIMPLES E DIFÍCEIS, INCLUINDO QUADRÁTICAS COM FATORES COMUNS",http://www.mangahigh.com/pt-br/games/wrecksfactor,TRUE,Não,,,
285,FORMAR UMA EXPRESSÃO OU FÓRMULA,http://www.mangahigh.com/pt-br/jogos_matematicos/algebra/formando_algebra/formar_uma_expressao_ou_formula,TRUE,Sim,Link quebrado,,
286,FRAÇÃO COMO PARTE-TODO,http://www.mathplayground.com/Triplets/Triplets.html,TRUE,Não,,,
287,FRAÇÃO LEGAL 2,http://phet.colorado.edu/pt_BR/simulation/fraction-matcher,TRUE,Não,,,
288,FRAÇÕES DO PROFESSOR SAGAZ,http://www.tsampaio.com/ic/objetos/kit1/index.html,TRUE,Sim,Link quebrado,,
289,FRAÇÕES E DECIMAIS,"http://www.mangahigh.com/pt-br/jogos_matematicos/numerais/fracoes,_porcentagens_e_razoes/relacionando_fracoes_e_decimais",TRUE,Sim,Link quebrado,,
290,FRAÇÕES EQUIVALENTES,http://objetoseducacionais2.mec.gov.br/bitstream/handle/mec/10471/Fra%C3%A7%C3%B5es_Equivalentes.swf?sequence=1,TRUE,Sim,Flash,,
291,ICE ICE MAYBE,http://www.mangahigh.com/pt-br/games/iceicemaybe,TRUE,Não,,,
292,INICIALIZAÇÃO AO CONHECIMENTO DE SIMETRIA,http://www.jogarjogogratis.com.br/jogos-de-puzzle/construir-formas-geometricas/,TRUE,Sim,Link quebrado,,
293,JOGO DA CLASSIFICAÇÃO DOS QUADRILÁTEROS,http://www.uff.br/cdme/jct/jct-html/jct-br.html,FALSE,Sim,Novo Link,http://www.cdme.im-uff.mat.br/jct/jct-html/jct-br.html,
294,JOGO DA TOMOGRAFIA,http://www.uff.br/cdme/tomografia/tomografia-html/tomografia-br.html,FALSE,Sim,Novo Link,http://www.cdme.im-uff.mat.br/tomografia/tomografia-html/tomografia-br.html,
295,JOGO DA VELHA,http://www.funbrain.com/cgi-bin/ttt.cgi?A1=s&A2=4&A3=0,TRUE,Não,,,
296,JOGO DA VELHA DE POTENCIAÇÃO,http://www.funbrain.com/cgi-bin/ttt.cgi?A1=s&A2=4&A3=0,TRUE,Sim,Outros,,OA repetido.
297,JOGO DOS RECIPIENTES,http://www.somatematica.com.br/jogos/recipientes/,TRUE,Sim,Flash,,
298,JOGO SEQUÊNCIA DE NÚMEROS,http://www.imagem.eti.br/jogo_com_numeros/jogo_sequencia_de_numeros.html,TRUE,Não,,,
299,JOGO SIGMA PRIME,http://www.mangahigh.com/pt-br/games/wrecksfactor,TRUE,Não,,,
300,LABIRINTO DA TABUADA,https://novaescola.org.br/arquivo/jogos/labirinto-tabuada/,TRUE,Sim,Flash,,
